"","newc","id","Site","Jan.01","Feb.01","Mar.01","Apr.01","May.01","Jun.01","Jul.01","Aug.01","Sep.01","Oct.01","Nov.01","Dec.01","Jan.02","Feb.02","Mar.02","Apr.02","May.02","Jun.02","Jul.02","Aug.02","Sep.02","Oct.02","Nov.02","Dec.02"
"50","C3","A 2","AN-17M02    ",1.77,1.854,1.891,1.676,1.917,3.01,3.348,4.11,4.387,4.003,2.726,2.391,2.843,2.917,2.685,2.128,1.984,2.583,1.234,1.449,3.128,3.601,4.767,3.765
"51","C1","A 3","AN-17M09    ",5.477,3.866,2.834,2.202,1.955,1.946,2.112,2.308,2.455,2.557,2.687,2.686,2.883,3.961,3.933,3.989,3.651,2.636,2.067,1.168,1.805,1.67,2.062,3.258
"52","C2","A 1","AN-18M01    ",2.18,2.456,2.445,2.29,1.333,2.417,3.589,4.45,4.517,3.354,2.159,1.893,1.994,1.268,2.077,2.983,1.658,1.824,2.65,3.334,4.193,4.212,3.707,3.184
"53","C2","A 1","AN-19M01    ",1.75,1.946,2.602,3.177,1.986,1.244,3.695,4.716,3.819,3.189,2.647,2.311,2.76,2.155,2.362,1.829,1.292,4.916,2.542,1.722,3.267,3.624,3.503,3.111
"54","C3","A 2","AN-19M04    ",1.565,1.608,2.209,2.159,2.139,2.797,3.434,4.876,4.239,2.884,2.617,2.555,2.35,2.245,2.94,2.248,1.505,1.973,1.875,1.902,4.178,4.217,3.546,4.104
"55","C3","A 2","AN-19M07    ",2.345,1.688,1.503,1.367,2.176,2.936,3.436,4.791,3.648,2.967,3.366,2.859,3.392,2.582,2.536,2.419,2.139,1.297,1.935,1.716,4.077,3.841,2.607,4.543
"56","C1","A 3","AN-19M14    ",5.601,3.648,2.561,2.003,1.902,2.125,2.331,2.462,2.514,2.652,2.737,2.547,5.541,3.517,2.49,1.997,1.926,2.106,2.036,2.181,2.663,2.812,2.902,2.913
"57","C3","A 2","AN-19M19    ",2.143,2.85,2.49,1.633,1.864,2.979,3.144,3.061,2.218,2.888,5.525,2.286,2.309,2.143,3.147,3.087,2.594,2.414,2.991,0.1755,2.853,3.553,3.857,3.959
"58","C3","A 2","AN-20M03    ",2.492,2.173,1.474,0.984,1.598,3.265,4.124,3.677,3.327,3.672,3.235,3.061,3.974,3.393,3.535,2.668,2.267,1.375,1.413,1.615,1.87,3.635,3.568,3.769
"59","C1","A 1","AN-26361050 ",4.189,3.973,4.472,2.979,3.019,1.957,2.024,1.674,1.559,2.177,2.596,3.33,0.8011,2.544,3.695,4.1,4.08,3.818,3.366,2.719,2.296,2.098,2.095,2.338
"60","C3","A 1","AN-26M32    ",2.966,2.947,1.764,0.9729,1.325,2.283,3.025,3.984,3.743,3.014,3.81,3.63,3.99,4.17,3.701,2.88,2.348,1.819,1.248,1.448,2.098,2.789,3.337,3.639
"61","C3","A 1","AN-26M34    ",2.545,3.051,1.96,1.272,1.368,2.801,2.067,2.688,3.887,3.712,3.881,4.232,4.832,3.977,3.176,2.678,2.158,1.992,1.356,1.625,2.356,2.672,3.166,3.476
"62","C3","A 2","AN-29M03    ",2.32,2.455,1.312,1.111,1.93,3.816,4.151,3.433,3.494,3.561,3.262,2.237,4.302,4.038,3.571,2.397,2.218,1.96,1.467,1.475,2.118,2.662,2.887,3.988
"63","C3","A 2","AN-30M07    ",1.957,1.618,1.809,2.091,2.481,2.61,3.499,3.697,4.176,4.585,2.716,1.846,3.968,3.807,3.354,2.817,2.464,1.439,1.711,1.312,1.963,2.59,3.593,4.065
"64","C5","A 4","AN-30M19    ",1.665,1.37,3.648,4.291,4.106,3.551,3.183,2.896,1.845,2.545,2.127,1.856,2.866,2.812,4.063,4.207,3.425,3.259,2.619,2.709,2.248,0.3832,2.394,2.099
"65","C3","A 2","AN-30M25    ",1.845,1.828,1.924,2.209,2.319,2.845,3.624,2.655,4.389,4.666,3.01,1.768,3.857,3.803,3.418,2.495,2.141,1.445,1.711,1.242,2.756,2.435,3.764,4.015
"66","C3","A 2","AN-33M02    ",2.108,2.014,1.622,1.361,1.726,3.305,4.057,3.017,3.77,4.121,3.571,2.412,4.105,4.003,3.649,2.706,2.684,2.036,1.612,1.152,2.213,2.118,2.736,4.068
"67","C3","A 2","AN-33M06    ",2.056,1.932,1.668,1.202,1.845,3.207,3.937,3.792,3.457,4.021,3.499,2.468,4.144,3.81,3.705,2.881,2.702,1.807,1.426,1.452,1.997,2.093,3.058,4.008
"68","C2","A 3","AN-33M09    ",3.557,1.595,1.617,0.8708,2.062,2.832,3.231,3.716,3.034,3.671,3.821,3.455,3.244,3.088,2.597,1.724,1.793,1.255,1.521,3.27,4.223,4.06,3.516,3.172
"69","C3","A 2","AN-34M02    ",1.908,2.422,1.871,1.305,1.591,2.652,4.189,4.088,3.662,3.76,3.274,2.742,3.24,3.62,3.358,2.516,2.012,1.348,1.456,1.536,4.276,3.259,2.949,3.895
"70","C3","A 1","AN-34M12    ",5.665,3.638,2.542,2.067,2.022,2.194,2.361,2.399,2.461,2.595,2.759,2.762,0.03544,1.842,3.047,3.484,3.708,3.614,3.323,3.072,2.951,2.888,2.893,2.606
"71","C5","A 4","AN-34M13    ",0.1037,1.616,2.598,3.223,3.527,3.609,3.497,3.303,3.123,3.04,2.915,2.909,5.416,3.986,3.011,2.358,2.034,1.943,2.002,2.185,2.44,2.611,2.72,2.758
"72","C3","A 2","AN-34M20    ",2.774,2.606,2.463,2.498,2.718,3.181,3.856,4.169,3.404,1.469,0.6344,3.691,4.834,4.218,3.72,3.054,2.551,1.995,1.781,1.837,2.019,2.077,2.458,2.922
"73","C3","A 1","AN-35M02    ",3.705,3.166,2.146,1.414,1.41,1.913,2.769,2.219,2.995,3.66,3.39,4.676,3.507,3.525,3.396,2.957,1.866,1.322,1.41,1.639,2.786,3.65,3.03,4.376
"74","C3","A 2","AN-35M03    ",2.945,2.416,1.489,1.269,2.151,2.191,4.222,4.5,2.327,3.166,3.38,3.409,3.509,4.398,3.668,2.245,2.51,1.459,2.078,1.769,1.62,2.634,3.64,3.936
"75","C3","A 2","AN-35M24    ",2.254,1.983,1.488,1.374,2.746,3.108,4.497,4.221,3.768,3.117,2.511,2.397,2.461,4.643,4.321,2.49,2.699,2.501,3.009,2.075,1.39,1.523,2.673,3.679
"76","C3","A 2","AN-36M01    ",2.022,2.407,1.916,0.7959,2.007,2.612,4.137,3.883,3.651,3.716,3.142,3.173,3.637,3.948,3.522,2.865,2.441,1.426,1.322,1.173,2.699,3.098,3.725,3.607
"77","C3","A 2","AN-36M03    ",2.356,2.235,2.131,1.365,0.9507,2.658,3.869,3.907,3.508,3.85,3.19,3.444,3.822,4.132,3.538,2.267,2.229,1.431,1.415,1.783,2.403,3.016,3.305,4.121
"78","C3","A 2","AN-36M07    ",2.417,2.898,1.672,1.654,2.158,2.607,3.793,4.226,3.771,4.34,2.162,1.766,2.929,3.467,3.749,1.576,0.9489,1.888,3.001,4.073,4.113,2.822,2.096,2.803
"79","C3","A 2","AN-36M09    ",3.039,3.199,1.305,1.022,2.266,3.091,3.472,4.014,3.37,4.184,2.605,1.898,3.5,3.952,3.559,2.663,1.389,1.239,2.302,4.496,2.639,3.168,2.686,1.871
"80","C3","A 2","AN-36M10    ",3.315,2.721,1.232,1.252,2.121,3.034,2.984,3.537,3.847,4.571,2.79,2.059,4.002,3.717,3.036,2.305,1.805,1.422,1.434,2.456,2.953,2.228,3.887,4.218
"81","C3","A 2","AN-36M22    ",1.889,2.13,2.216,1.895,2.577,2.066,3.881,5.125,3.31,3.64,2.545,2.192,3.506,4.405,3.942,1.26,0.981,2.17,2.903,2.945,2.855,2.384,2.735,3.378
"82","C3","A 2","AN-36M23    ",3.176,3.865,1.216,1.501,2.382,3.119,3.314,3.036,3.491,4.443,2.377,1.544,4.222,4.678,3.9,2.721,1.367,2.477,2.312,1.626,2.649,2.827,2.442,2.242
"83","C3","A 2","AN-37M05    ",2.024,2.29,1.694,2.384,2.346,3.339,3.874,4.74,4.063,2.933,2.056,1.721,4.422,3.523,4.106,2.539,2.593,2.344,1.523,1.75,1.708,2.094,2.882,3.98
"84","C3","A 2","AN-37M07    ",2.393,2.424,1.761,2.53,1.43,4.315,4.647,2.1,3.512,2.848,2.062,3.443,4.599,2.801,4.374,2.556,2.714,2.042,1.591,1.833,1.799,2.702,2.566,3.888
"85","C3","A 1","AN-37M08    ",4.492,3.201,3.237,2.137,2.479,3.295,2.266,1.095,1.719,2.292,2.913,4.339,4.333,2.852,4.02,3.217,2.467,1.737,1.864,1.615,1.394,2.654,3.609,3.702
"86","C3","A 2","AN-37M09    ",1.644,3.051,1.715,2.496,2.743,3.437,4.257,4.339,3.459,3.084,1.871,1.367,4.208,2.904,4.684,1.57,1.755,1.567,2.431,2.228,2.375,3.431,3.295,3.018
"87","C3","A 2","AN-37M11    ",2.096,3.476,1.604,1.76,2.24,2.859,3.597,5.127,2.793,3.457,2.437,2.02,4.128,3.767,3.792,3.115,2.595,1.953,1.608,1.504,1.536,2.218,3.447,3.802
"88","C3","A 2","AN-37M12    ",1.704,2.144,1.707,1.484,2.221,2.771,3.255,4.54,4.047,3.627,3.514,2.449,4.051,2.627,4.135,3.902,2.888,1.963,1.697,1.388,2.175,2.385,2.202,4.052
"89","C3","A 1","AN-37M14    ",4.656,2.532,1.608,1.28,1.37,2.42,3.204,3.39,3.327,3.521,3.302,2.853,3.207,3.757,3.908,4.066,2.959,1.665,1.45,1.079,2.106,2.762,3.033,3.472
"90","C5","A 4","AN-37M15    ",0.4605,1.428,2.16,2.718,3.343,3.654,3.497,3.58,3.797,3.074,2.995,2.756,5.542,3.587,2.555,1.999,1.944,1.95,2.055,2.481,2.708,2.802,3.003,2.838
"91","C3","A 1","AN-37M31    ",4.947,3.013,4.567,2.32,2.198,2.391,2.304,1.778,1.733,2.808,2.614,2.791,5.092,2.724,4.414,2.218,2.361,2.491,1.995,1.618,2.152,2.96,2.67,2.771
"92","C3","A 2","AN-38141050 ",0.0205,1.843,2.826,3.214,3.508,3.483,3.447,3.088,2.835,3,3.123,3.563,5.068,4.272,3.711,2.993,2.564,2.265,2.098,2.17,2.117,1.976,2.18,2.535
"93","C5","A 4","AN-38M07    ",0,1.805,2.846,3.48,3.636,3.514,3.339,3.174,3.001,2.928,2.84,2.902,5.577,3.771,2.629,1.96,1.908,2.156,2.346,2.466,2.584,2.641,2.71,2.716
"94","C3","A 1","AN-39M01    ",3.924,2.639,1.265,1.128,1.47,2.448,3.291,3.873,3.411,3.487,3.27,3.259,3.297,4.194,3.695,3.489,2.857,1.847,1.196,1.155,2.344,2.516,3.084,3.79
"95","C3","A 1","AN-39M03    ",3.32,2.967,2.139,1.51,0.5371,2.758,3.375,4.127,3.064,3.66,3.502,2.505,2.799,4.548,4.055,3.07,2.679,2.246,1.633,1.535,1.654,2.161,3.23,3.854
"96","C3","A 1","AN-40M02    ",2.323,3.009,2.736,1.097,1.274,3.579,1.892,2.675,3.635,4.409,3.428,3.408,3.153,4.244,4.055,3.126,2.335,2.191,1.387,0.9615,2.318,2.874,3.119,3.699
"97","C3","A 2","AN-41M01    ",2.332,2.21,2.209,2.35,2.387,2.693,3.35,2.856,2.584,5.791,2.348,2.355,3.977,3.192,2.985,2.451,2.543,2.203,1.793,1.164,1.871,3.383,3.134,4.769
"98","C2","A 3","AN-41M03    ",1.639,1.416,1.949,2.764,2.713,2.972,3.119,3.81,4.732,3.967,2.285,2.097,2.994,1.986,2.269,2.636,2.575,1.853,1.095,2.731,4.326,4.302,2.662,4.036
"99","C3","A 2","AN-41M05    ",2.263,1.656,1.82,1.441,1.659,2.929,3.873,3.292,3.429,4.012,4.22,2.869,3.851,3.729,4.059,3.53,2.495,1.596,1.317,1.296,2.139,3.09,2.955,3.407
"100","C3","A 2","AN-41M09    ",1.122,2.213,2.633,3.475,2.082,2.211,3.515,4.196,3.51,4.367,2.141,1.999,4.481,3.613,2.956,2.043,2.227,2.232,2.056,1.514,1.972,2.29,3.899,4.18
"101","C2","A 3","AN-41M10    ",1.679,1.941,1.944,2.59,2.827,3.276,3.669,3.766,4.715,3.383,2.31,1.363,2.167,2.311,1.744,1.711,2.593,2.821,3.706,3.44,5.052,3.484,2.752,1.684
"102","C3","A 1","AN-41M16    ",5.639,3.572,2.445,1.956,1.914,2.125,2.416,2.591,2.839,2.734,2.674,2.56,5.583,3.714,2.66,2.068,1.92,2.104,2.269,2.325,2.523,2.663,2.836,2.799
"103","C3","A 2","AN-42M04    ",3.502,2.829,2.341,1.296,2.485,3.888,4.515,4.067,2.508,2.422,1.86,1.752,4.924,3.747,2.295,2.179,2.107,2.06,1.739,1.757,2.463,2.883,3.403,3.908
"104","C2","A 3","AN-42M06    ",2.627,1.778,1.385,1.37,1.975,3.256,4.244,3.753,3.722,3.859,2.849,2.645,4.284,4.314,1.454,2.043,1.879,1.837,2.286,2.284,3.154,3.35,2.615,3.963
"105","C3","A 2","AN-42M07    ",3.06,2.713,2.528,2.074,1.912,2.506,2.243,2.254,4.603,5.04,2.3,2.231,4.592,3.23,3.515,3.118,2.374,1.869,1.739,1.673,1.524,2.428,3.421,3.982
"106","C3","A 1","AN-42M09    ",5.639,3.556,2.411,1.929,1.881,2.191,2.419,2.518,2.742,2.735,2.734,2.709,5.608,3.642,2.6,1.973,1.945,2.093,2.31,2.387,2.623,2.728,2.725,2.828
"107","C3","A 1","AN-42M24    ",5.026,2.791,1.576,1.489,1.724,2.926,2.897,3.645,3.521,2.437,3.084,2.349,4.205,3.329,3.212,2.237,2.324,2.118,1.641,1.513,1.851,2.784,3.844,4.406
"108","C3","A 2","AN-44M01    ",1.883,2.37,1.482,1.296,1.858,2.736,3.354,3.83,4.055,3.658,3.975,2.966,4.181,3.521,3.465,2.424,1.889,1.86,1.839,1.547,1.718,3.22,3.984,3.817
"109","C2","A 3","AN-44M02    ",2.078,1.821,1.802,1.692,3.796,3.958,3.62,3.941,3.773,3.264,2.037,1.683,1.979,2.028,1.847,0.9987,2.485,3.827,4.53,3.689,2.868,2.769,3.595,2.849
"110","C3","A 2","AN-44M06    ",2.161,2.206,1.397,1.219,2.117,3.223,3.552,3.676,4.081,4.119,3.308,2.406,4.317,3.99,3.959,2.25,1.549,1.784,2.42,1.681,2.145,2.639,2.839,3.89
"111","C3","A 1","AN-44M08    ",3.398,2.613,1.645,1.685,1.131,2.104,3.298,2.465,3.242,3.649,4.212,4.022,4.073,3.853,3.602,2.472,2.79,2.14,1.193,1.503,1.766,2.665,3.474,3.933
"112","C5","A 4","AN-44M31    ",0.02496,1.74,2.774,3.361,3.558,3.556,3.435,3.25,3.04,3.019,2.845,2.861,5.348,3.858,3.16,2.167,1.923,2.057,2.13,2.125,2.198,2.411,3.027,3.059
"113","C3","A 2","AN-44M34    ",1.957,2.002,1.321,1.709,2.696,3.395,3.496,4.137,4.407,3.567,2.643,2.135,3.742,3.84,3.695,1.656,1.49,1.629,2.023,2.289,2.712,2.419,4.068,3.9
"114","C3","A 2","AN-45M02    ",2.917,2.237,1.603,1.42,1.907,4.088,4.908,3.352,2.949,2.579,2.919,2.586,4.307,3.562,3.215,2.951,2.784,2.21,1.568,1.098,1.735,2.565,3.375,4.093
"115","C3","A 1","AN-45M04    ",2.953,2.414,1.66,1.193,1.416,2.739,2.688,3.284,4.094,4.384,3.489,3.15,4.104,3.542,3.495,2.823,2.625,1.89,1.112,1.664,1.87,2.579,3.775,3.984
"116","C3","A 1","AN-46M01    ",3.221,2.353,1.537,1.036,1.519,2.608,3.121,3.07,3.739,4.248,3.721,3.29,4.141,3.525,3.078,3.113,2.951,2.053,1.052,1.281,1.943,2.889,3.469,3.97
"117","C3","A 1","AN-46M07    ",3.77,2.781,2.405,1.895,1.765,1.869,2.114,1.494,3.351,4.228,4.23,3.563,3.72,4.106,3.534,2.972,2.533,1.998,1.39,1.18,2.196,2.345,3.43,4.06
"118","C3","A 1","AN-47M01    ",2.027,2.833,2.494,0.6494,1.818,3.511,2.14,3.213,3.932,3.948,3.738,3.161,3.745,4.187,3.784,3.077,2.536,2.044,1.241,1.17,2.263,2.461,3.267,3.689
